Sample_ID,Num_of_formulas,Comp.mol.R2,Comp.mol.slope,C.mol.R2,C.mol.slope,Comp.R2_C.R2_Ratio,Comp.Slope_C.Slope_Ratio
S19S_0026_ICR.1_p05,2022,0.763529723587956,1.10764729565454,0.363071408446234,0.532241984273222,2.10297397653945,2.08109718583557
S19S_0026_ICR.2_p05,1904,0.779785920873045,1.20257528933846,0.369122868517654,0.555765926872553,2.11253755153279,2.16381615207265
S19S_0026_ICR.3_p05,3207,0.762724069802677,0.95190258136088,0.281497572877547,0.515870049294082,2.70952272165581,1.84523715354955
S19S_0027_ICR.1_p05,2696,0.753546510277019,0.951497002176552,0.33430730000211,0.561004956654301,2.25405341215182,1.6960581023224
S19S_0027_ICR.2_p05,3243,0.74771075685156,0.790280444677639,0.348183266751911,0.601506131821455,2.14746321334368,1.31383605730593
S19S_0027_ICR.3_p05,2895,0.763063081253262,0.744279490044813,0.375354740230665,0.637459158400768,2.03291180173811,1.16757204008494
S19S_0028_ICR.1_p05,2299,0.799374127260232,0.899122802350848,0.356278475393265,0.530491277452117,2.24367786007244,1.69488706142205
S19S_0028_ICR.2_p05,2892,0.770008815742676,0.893593744530363,0.359442096370582,0.602803446075581,2.14223326515657,1.48239654293271
S19S_0028_ICR.3_p05,3013,0.772025907019111,0.865858749535869,0.393651516649854,0.627702068356533,1.96119124242017,1.37941038142966
S19S_0029_ICR.1_p05,627,0.671387999356553,1.04555267027146,0.429391121336324,0.55008627737302,1.56358146686196,1.90070669507441
S19S_0029_ICR.2_p05,2867,0.759379869323379,0.955085499751654,0.349086556817128,0.593679426145598,2.17533403820299,1.60875627095998
S19S_0029_ICR.3_p05,2847,0.761113972404705,0.963476556718615,0.341152956784961,0.587311383061886,2.23100505877913,1.64048677499767
S19S_0030_ICR.1_p05,2086,0.713387925028316,1.14654349950647,0.338510167962355,0.548425260621378,2.10743425913177,2.09061030158861
S19S_0030_ICR.2_p05,732,0.584584382805779,1.08683656818422,0.44377791942173,0.586365107499497,1.31729037705961,1.85351507837658
S19S_0030_ICR.3_p05,1951,0.675157134112717,1.09315440134442,0.31204348897236,0.508010975392218,2.1636635852784,2.15183225224698
S19S_0031_ICR.1_p05,2173,0.729904186449692,1.0564484828992,0.369335261534709,0.544972853943712,1.97626455545214,1.9385341402864
S19S_0031_ICR.2_p05,1489,0.731122600499767,0.997722978584573,0.383179408610038,0.502036509587113,1.90804250977857,1.9873514366617
S19S_0031_ICR.3_p05,1759,0.670407630135646,1.04146335286149,0.377117397947107,0.532102339793782,1.77771599450226,1.95726136679856
S19S_0032_ICR.1_p05,2781,0.772160270102854,1.10129892285614,0.346983730800039,0.561454078855847,2.22535007137795,1.96151201733258
S19S_0032_ICR.2_p05,3175,0.755143435830667,0.958287367503379,0.34540387467087,0.56883051398313,2.18626220261782,1.68466237999989
S19S_0032_ICR.3_p05,3509,0.73706367058264,0.91980351176027,0.346817421845763,0.593001692556546,2.12522100723772,1.55109761625606
S19S_0033_ICR.1_p05,1114,0.674427763217867,1.10209434614097,0.407268959762055,0.618589502570558,1.65597634450683,1.78162471487343
S19S_0033_ICR.2_p05,2644,0.73854331350653,1.06035008772257,0.369023596745977,0.623078364964064,2.00134441271222,1.70179249889976
S19S_0033_ICR.3_p05,2883,0.75937391505596,0.987250683215717,0.330793607499461,0.556234712863423,2.29561242369896,1.77488146709413
S19S_0034_ICR.1_p05,3216,0.747507506083862,0.886988447516756,0.359726181262884,0.62241549847558,2.07799027432366,1.42507448752348
S19S_0034_ICR.2_p05,2267,0.777209011298179,1.0404175258462,0.372660963988498,0.585998603071447,2.08556593365697,1.77546076115705
S19S_0034_ICR.3_p05,2703,0.778646646877259,1.01116000874993,0.355131632829113,0.581349996550124,2.19255784305742,1.73933089318037
S19S_0035_ICR.1_p05,3457,0.749107720854252,0.913226850813384,0.294559933712598,0.545458972358917,2.54314193859494,1.67423563840925
S19S_0035_ICR.2_p05,3298,0.756729393700283,0.892232670892812,0.28951906889006,0.546845433483884,2.61374629519701,1.63159938121547
S19S_0035_ICR.3_p05,3453,0.741205463109685,0.891007650999012,0.314651044297112,0.569675310891103,2.35564278760122,1.56406225434848
S19S_0036_ICR.1_p05,3351,0.73599070754308,0.967590976665492,0.396537722048601,0.698828757489486,1.85604210298276,1.3845895239651
S19S_0036_ICR.2_p05,2366,0.766315899327843,1.22744974533821,0.457999429434461,0.700211863245301,1.6731809039022,1.75296907945732
S19S_0036_ICR.3_p05,2750,0.741473302619678,1.06637852467137,0.396569818883901,0.677295531972212,1.86971692577733,1.57446561261993
S19S_0037_ICR.1_p05,2264,0.800635121348543,1.3629972485801,0.444209722591679,0.67011052507043,1.80238090395084,2.03398871915472
S19S_0037_ICR.2_p05,3388,0.781825441601286,1.24238331380543,0.409331942845693,0.687941974552058,1.91000349536858,1.80594201220879
S19S_0038_ICR.1_p05,2235,0.804360894707302,1.34992532506963,0.389270169618527,0.625539393334714,2.06633068106799,2.15801808719553
S19S_0038_ICR.2_p05,1021,0.809861606175625,1.41703483119498,0.417874990276116,0.602648138956013,1.93804756212019,2.35134689646558
S19S_0038_ICR.3_p05,2779,0.801228852661236,1.28420396989889,0.435021891852942,0.668969641206288,1.84181271716801,1.91967451255816
S19S_0039_ICR.1_p05,4193,0.756708611257862,1.25688700981028,0.360823930640121,0.721511547126684,2.09716858279167,1.74201925778687
S19S_0039_ICR.2_p05,4077,0.756505382355662,1.26860015734809,0.335578627808837,0.69324126049656,2.25433123466554,1.82995477857075
S19S_0039_ICR.3_p05,3983,0.766805370045873,1.31353723472489,0.354726370061645,0.690581606647913,2.16168132612362,1.90207387813412
S19S_0040_ICR.1_p05,1208,0.752442047951579,0.91658772115404,0.372292821606464,0.490102342347052,2.02110275643981,1.87019657315774
S19S_0040_ICR.2_p05,3145,0.762853726781748,0.897860011206134,0.348776074088677,0.604103460240071,2.18723067164232,1.4862686117529
S19S_0040_ICR.3_p05,3006,0.755104895491,0.878139372875579,0.329489368428648,0.580432648512973,2.29174282342442,1.51290485661913
S19S_0041_ICR.1_p05,2790,0.753781367335892,0.823746984119292,0.352790282624322,0.6473219649045,2.13662735188933,1.27254601076424
S19S_0041_ICR.2_p05,2425,0.747080210874918,1.11081722707962,0.442625744396747,0.668755008313187,1.68783723118751,1.66102266640433
S19S_0041_ICR.3_p05,3223,0.754498684710238,0.833324194306328,0.430151580157833,0.744495076668923,1.75402978743771,1.11931458033927
